Statistic,Per 90,Percentile
Goals,0.00,15
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.13,72
Red Cards,0.04,9
,,
xG,0.00,1
npxG,0.00,1
xA,0.02,62
npxG+xA,0.02,8
Goals,0.00,15
Shots Total,0.18,5
Shots on target,0.00,4
Shots on target %,0.0%,4
Goals/Shot,0.00,16
Average Shot Distance,16.30,14
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.00,1
npxG,0.00,1
npxG/Sh,0.03,1
Goals - xG,0.00,49
Non-Penalty Goals - npxG,0.00,50
Passes Completed,61.68,86
Passes Attempted,66.94,83
Pass Completion %,92.1%,92
Total Passing Distance,1297.26,85
Progressive Passing Distance,357.85,66
,,
Passes Completed (Short),18.72,87
Passes Attempted (Short),19.95,87
Pass Completion % (Short),93.8%,81
,,
Passes Completed (Medium),32.79,86
Passes Attempted (Medium),34.59,86
Pass Completion % (Medium),94.8%,81
,,
Passes Completed (Long),9.73,63
Passes Attempted (Long),11.62,42
Pass Completion % (Long),83.8%,94
Assists,0.00,31
xA,0.02,62
Key Passes,0.26,79
Passes into Final Third,2.81,52
Passes into Penalty Area,0.13,49
Crosses into Penalty Area,0.00,29
Progressive Passes,2.63,52
Passes Attempted,66.94,83
,,
Live-ball passes,65.28,84
Dead-ball passes,1.67,26
Passes from Free Kicks,1.40,32
Through Balls,0.00,22
Passes Under Pressure,5.44,68
Switches,0.83,12
Crosses,0.04,26
Corner Kicks,0.00,46
,,
Inswinging Corner Kicks,0.00,48
Outswinging Corner Kicks,0.00,48
Straight Corner Kicks,0.00,50
,,
Ground passes,56.60,87
Low Passes,3.46,17
High Passes,6.88,18
,,
Passes Attempted (Left),4.56,21
Passes Attempted (Right),58.66,93
Passes Attempted (Head),2.15,37
Throw-Ins taken,0.22,49
Passes Attempted (Other),0.09,25
,,
Passes Completed,61.68,86
Passes Offside,0.13,36
Passes Out of Bounds,0.39,95
Passes Intercepted,0.70,37
Passes Blocked,0.39,66
Shot-Creating Actions,0.48,46
,,
SCA (PassLive),0.48,60
SCA (PassDead),0.00,36
SCA (Drib),0.00,39
SCA (Sh),0.00,20
SCA (Fld),0.00,34
SCA (Def),0.00,30
,,
Goal-Creating Actions,0.04,42
,,
GCA (PassLive),0.04,56
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,40
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.05,17
Tackles Won,0.66,20
Tackles (Def 3rd),0.70,21
Tackles (Mid 3rd),0.26,14
Tackles (Att 3rd),0.09,71
,,
Dribblers Tackled,0.26,8
Dribbles Contested,0.79,20
% of dribblers tackled,33.3%,10
Dribbled Past,0.53,63
,,
Pressures,7.01,22
Successful Pressures,2.41,21
Successful Pressure %,34.4%,45
Pressures (Def 3rd),3.77,15
Pressures (Mid 3rd),2.63,26
Pressures (Att 3rd),0.61,73
,,
Blocks,1.58,41
Shots Blocked,0.88,68
Shots Saved,0.00,33
Passes Blocked,0.70,24
,,
Interceptions,1.62,73
Tkl+Int,2.67,43
Clearances,4.73,42
Errors,0.04,47
Touches,76.02,81
Touches (Def Pen),11.09,84
Touches (Def 3rd),41.73,91
Touches (Mid 3rd),37.26,74
Touches (Att 3rd),1.75,28
Touches (Att Pen),0.31,5
Touches (Live-Ball),74.39,82
,,
Dribbles Completed,0.09,12
Dribbles Attempted,0.13,15
Successful Dribble %,66.7%,28
Players Dribbled Past,0.13,23
Nutmegs,0.00,40
,,
Carries,51.07,84
Total Carrying Distance,257.16,69
Progressive Carrying Distance,142.04,70
Progressive Carries,3.42,68
Carries into Final Third,0.57,67
Carries into Penalty Area,0.00,33
Miscontrols,0.09,87
Dispossessed,0.18,52
,,
Pass Targets,56.77,84
Passes Received,55.89,84
Passes Received %,98.5%,87
Progressive Passes Rec,0.04,6
Yellow Cards,0.13,72
Red Cards,0.04,9
Second Yellow Card,0.00,57
Fouls Committed,1.05,55
Fouls Drawn,0.57,38
Offsides,0.00,79
Crosses,0.04,26
,,
Interceptions,1.62,73
Tackles Won,0.66,20
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.00,79
Own Goals,0.00,61
Ball Recoveries,8.11,23
,,
Aerials won,2.72,58
Aerials lost,1.53,40
% of Aerials Won,63.9%,52